model,run_id,protocol_id,item_id,canonical_n,reversed_n,canonical_p,reversed_p,canonical_reversed_tv,mean_presented_position0_minus1,literal_example_pair_0_2_1_5
openai/gpt-5-nano,20260917T020418Z_7fe76f95937e,7fe76f95937ed145b996116a31855dae4ab8c3b67e3e7ccfb84a000437e27f96,Obedience,6,6,"[0.806, 0.194]","[0.673, 0.327]",0.13253968253968254,0.8333333333333334,0
openai/gpt-5-nano,20260917T020418Z_7fe76f95937e,7fe76f95937ed145b996116a31855dae4ab8c3b67e3e7ccfb84a000437e27f96,dealing with people?,6,6,"[0.565, 0.435]","[0.584, 0.416]",0.019047619047619063,-0.16666666666666666,0
openai/gpt-5.6-sol,20260916T152843Z_1a70f47789af,1a70f47789af20900f2799992b09e83af9490be6579098a6178d613d5ba7856c,"Determination, perseverance",6,6,"[0.833, 0.167]","[0.833, 0.167]",0.0,0.0,0
openai/gpt-5.6-sol,20260916T152843Z_1a70f47789af,1a70f47789af20900f2799992b09e83af9490be6579098a6178d613d5ba7856c,God,6,6,"[0.222, 0.778]","[0.389, 0.611]",0.16666666666666663,-1.0,0
openai/gpt-5.6-sol,20260916T152843Z_1a70f47789af,1a70f47789af20900f2799992b09e83af9490be6579098a6178d613d5ba7856c,Imagination,6,6,"[0.833, 0.167]","[0.833, 0.167]",0.0,0.0,0
openai/gpt-5.6-sol,20260916T152843Z_1a70f47789af,1a70f47789af20900f2799992b09e83af9490be6579098a6178d613d5ba7856c,Independence,6,6,"[0.833, 0.167]","[0.833, 0.167]",0.0,0.0,0
openai/gpt-5.6-sol,20260916T152843Z_1a70f47789af,1a70f47789af20900f2799992b09e83af9490be6579098a6178d613d5ba7856c,Obedience,6,6,"[0.488, 0.512]","[0.689, 0.311]",0.20079365079365083,-1.1666666666666667,0
openai/gpt-5.6-sol,20260916T152843Z_1a70f47789af,1a70f47789af20900f2799992b09e83af9490be6579098a6178d613d5ba7856c,dealing with people?,6,6,"[0.429, 0.571]","[0.548, 0.452]",0.11904761904761899,-0.8333333333333334,0
openai/gpt-6-astra,20260916T154406Z_95bb4d3939e9,95bb4d3939e9937823357b5cd87adb1a6640cc5b04e0841dfec03095331a5e44,"Determination, perseverance",6,6,"[0.833, 0.167]","[0.813, 0.187]",0.01984126984126991,0.08333333333333333,1
openai/gpt-6-astra,20260916T154406Z_95bb4d3939e9,95bb4d3939e9937823357b5cd87adb1a6640cc5b04e0841dfec03095331a5e44,God,6,6,"[0.500, 0.500]","[0.278, 0.722]",0.2222222222222223,1.3333333333333333,0
openai/gpt-6-astra,20260916T154406Z_95bb4d3939e9,95bb4d3939e9937823357b5cd87adb1a6640cc5b04e0841dfec03095331a5e44,Imagination,6,6,"[0.833, 0.167]","[0.794, 0.206]",0.039682539682539736,0.16666666666666666,2
openai/gpt-6-astra,20260916T154406Z_95bb4d3939e9,95bb4d3939e9937823357b5cd87adb1a6640cc5b04e0841dfec03095331a5e44,Independence,6,6,"[0.833, 0.167]","[0.714, 0.286]",0.11904761904761903,0.5,6
openai/gpt-6-astra,20260916T154406Z_95bb4d3939e9,95bb4d3939e9937823357b5cd87adb1a6640cc5b04e0841dfec03095331a5e44,Obedience,6,6,"[0.500, 0.500]","[0.361, 0.639]",0.13888888888888887,0.8333333333333334,0
openai/gpt-6-astra,20260916T154406Z_95bb4d3939e9,95bb4d3939e9937823357b5cd87adb1a6640cc5b04e0841dfec03095331a5e44,dealing with people?,6,6,"[0.524, 0.476]","[0.560, 0.440]",0.035714285714285726,-0.25,0
qwen/qwen-2.5-72b-instruct,20260916T201119Z_9c1d40b30945,9c1d40b30945565e488b212177e40c29f730c2e96d4b07d09cbc135ba75a81f0,"Determination, perseverance",6,6,"[0.833, 0.167]","[0.833, 0.167]",0.0,0.0,0
qwen/qwen-2.5-72b-instruct,20260916T201119Z_9c1d40b30945,9c1d40b30945565e488b212177e40c29f730c2e96d4b07d09cbc135ba75a81f0,God,6,6,"[0.806, 0.194]","[0.722, 0.278]",0.08333333333333337,0.5,0
qwen/qwen-2.5-72b-instruct,20260916T201119Z_9c1d40b30945,9c1d40b30945565e488b212177e40c29f730c2e96d4b07d09cbc135ba75a81f0,Imagination,6,6,"[0.833, 0.167]","[0.833, 0.167]",0.0,0.0,0
qwen/qwen-2.5-72b-instruct,20260916T201119Z_9c1d40b30945,9c1d40b30945565e488b212177e40c29f730c2e96d4b07d09cbc135ba75a81f0,Independence,6,6,"[0.833, 0.167]","[0.833, 0.167]",0.0,0.0,0
qwen/qwen-2.5-72b-instruct,20260916T201119Z_9c1d40b30945,9c1d40b30945565e488b212177e40c29f730c2e96d4b07d09cbc135ba75a81f0,Obedience,6,6,"[0.519, 0.481]","[0.640, 0.360]",0.1213624338624339,-1.0833333333333333,1
qwen/qwen-2.5-72b-instruct,20260916T201119Z_9c1d40b30945,9c1d40b30945565e488b212177e40c29f730c2e96d4b07d09cbc135ba75a81f0,dealing with people?,6,6,"[0.556, 0.444]","[0.587, 0.413]",0.03174603174603183,-0.25,0
qwen/qwen-2.5-7b-instruct,20260916T200857Z_66ad076e1a37,66ad076e1a37493e4d3db982a0220048e520103459cefc709bc8f09f3fef6c9a,"Determination, perseverance",6,6,"[0.656, 0.344]","[0.833, 0.167]",0.1777777777777778,-1.1666666666666667,0
qwen/qwen-2.5-7b-instruct,20260916T200857Z_66ad076e1a37,66ad076e1a37493e4d3db982a0220048e520103459cefc709bc8f09f3fef6c9a,God,6,6,"[0.550, 0.450]","[0.520, 0.480]",0.030158730158730107,0.08333333333333333,1
qwen/qwen-2.5-7b-instruct,20260916T200857Z_66ad076e1a37,66ad076e1a37493e4d3db982a0220048e520103459cefc709bc8f09f3fef6c9a,Imagination,6,6,"[0.833, 0.167]","[0.833, 0.167]",0.0,0.0,0
qwen/qwen-2.5-7b-instruct,20260916T200857Z_66ad076e1a37,66ad076e1a37493e4d3db982a0220048e520103459cefc709bc8f09f3fef6c9a,Independence,6,6,"[0.817, 0.183]","[0.833, 0.167]",0.01666666666666676,-0.25,0
qwen/qwen-2.5-7b-instruct,20260916T200857Z_66ad076e1a37,66ad076e1a37493e4d3db982a0220048e520103459cefc709bc8f09f3fef6c9a,Obedience,6,6,"[0.500, 0.500]","[0.722, 0.278]",0.22222222222222224,-0.8333333333333334,0
qwen/qwen-2.5-7b-instruct,20260916T200857Z_66ad076e1a37,66ad076e1a37493e4d3db982a0220048e520103459cefc709bc8f09f3fef6c9a,dealing with people?,6,6,"[0.640, 0.360]","[0.476, 0.524]",0.1634920634920634,1.0,0
qwen/qwen-plus,20260916T200626Z_88ba5af838ed,88ba5af838eda5d298b312553d7c941e72a37cbf28890cdb9d8436b5f40e7cfe,"Determination, perseverance",6,6,"[0.833, 0.167]","[0.833, 0.167]",0.0,0.0,0
qwen/qwen-plus,20260916T200626Z_88ba5af838ed,88ba5af838eda5d298b312553d7c941e72a37cbf28890cdb9d8436b5f40e7cfe,God,6,6,"[0.167, 0.833]","[0.167, 0.833]",0.0,0.0,0
qwen/qwen-plus,20260916T200626Z_88ba5af838ed,88ba5af838eda5d298b312553d7c941e72a37cbf28890cdb9d8436b5f40e7cfe,Imagination,6,6,"[0.833, 0.167]","[0.833, 0.167]",0.0,0.0,0
qwen/qwen-plus,20260916T200626Z_88ba5af838ed,88ba5af838eda5d298b312553d7c941e72a37cbf28890cdb9d8436b5f40e7cfe,Independence,6,6,"[0.833, 0.167]","[0.833, 0.167]",0.0,0.0,0
qwen/qwen-plus,20260916T200626Z_88ba5af838ed,88ba5af838eda5d298b312553d7c941e72a37cbf28890cdb9d8436b5f40e7cfe,Obedience,6,6,"[0.800, 0.200]","[0.750, 0.250]",0.049999999999999975,0.5,0
qwen/qwen-plus,20260916T200626Z_88ba5af838ed,88ba5af838eda5d298b312553d7c941e72a37cbf28890cdb9d8436b5f40e7cfe,dealing with people?,6,6,"[0.429, 0.571]","[0.571, 0.429]",0.14285714285714274,-1.0,0
qwen/qwen-plus-2025-07-28,20260916T194044Z_ac52652ff1f0,ac52652ff1f09e1f1972a8b751e1b1deca329cb555df54755aada79791bed940,"Determination, perseverance",6,6,"[0.833, 0.167]","[0.500, 0.500]",0.33333333333333337,2.0,0
qwen/qwen-plus-2025-07-28,20260916T194044Z_ac52652ff1f0,ac52652ff1f09e1f1972a8b751e1b1deca329cb555df54755aada79791bed940,God,6,6,"[0.500, 0.500]","[0.833, 0.167]",0.33333333333333337,-2.0,0
qwen/qwen-plus-2025-07-28,20260916T194044Z_ac52652ff1f0,ac52652ff1f09e1f1972a8b751e1b1deca329cb555df54755aada79791bed940,Imagination,6,6,"[0.833, 0.167]","[0.500, 0.500]",0.33333333333333337,2.0,0
qwen/qwen-plus-2025-07-28,20260916T194044Z_ac52652ff1f0,ac52652ff1f09e1f1972a8b751e1b1deca329cb555df54755aada79791bed940,Independence,6,6,"[0.833, 0.167]","[0.500, 0.500]",0.33333333333333337,2.0,0
qwen/qwen-plus-2025-07-28,20260916T194044Z_ac52652ff1f0,ac52652ff1f09e1f1972a8b751e1b1deca329cb555df54755aada79791bed940,Obedience,6,6,"[0.800, 0.200]","[0.571, 0.429]",0.2285714285714286,1.0,0
qwen/qwen-plus-2025-07-28,20260916T194044Z_ac52652ff1f0,ac52652ff1f09e1f1972a8b751e1b1deca329cb555df54755aada79791bed940,dealing with people?,6,6,"[0.429, 0.571]","[0.571, 0.429]",0.14285714285714274,-1.0,0
qwen/qwen2.5-vl-72b-instruct,20260916T200346Z_02d386b067d5,02d386b067d55e0639d33db8b6f1e5c708c30acbada3125dcbabde47dc90edcf,"Determination, perseverance",6,6,"[0.833, 0.167]","[0.794, 0.206]",0.039682539682539736,0.16666666666666666,2
qwen/qwen2.5-vl-72b-instruct,20260916T200346Z_02d386b067d5,02d386b067d55e0639d33db8b6f1e5c708c30acbada3125dcbabde47dc90edcf,God,6,6,"[0.533, 0.467]","[0.372, 0.628]",0.16111111111111112,0.9166666666666666,0
qwen/qwen2.5-vl-72b-instruct,20260916T200346Z_02d386b067d5,02d386b067d55e0639d33db8b6f1e5c708c30acbada3125dcbabde47dc90edcf,Imagination,6,6,"[0.773, 0.227]","[0.710, 0.290]",0.06269841269841268,0.25,0
qwen/qwen2.5-vl-72b-instruct,20260916T200346Z_02d386b067d5,02d386b067d55e0639d33db8b6f1e5c708c30acbada3125dcbabde47dc90edcf,Independence,6,6,"[0.822, 0.178]","[0.722, 0.278]",0.09999999999999999,0.5,0
qwen/qwen2.5-vl-72b-instruct,20260916T200346Z_02d386b067d5,02d386b067d55e0639d33db8b6f1e5c708c30acbada3125dcbabde47dc90edcf,Obedience,6,6,"[0.639, 0.361]","[0.709, 0.291]",0.07043650793650791,-0.5833333333333334,1
qwen/qwen2.5-vl-72b-instruct,20260916T200346Z_02d386b067d5,02d386b067d55e0639d33db8b6f1e5c708c30acbada3125dcbabde47dc90edcf,dealing with people?,6,6,"[0.571, 0.429]","[0.440, 0.560]",0.13095238095238082,0.75,0
qwen/qwen3-14b,20260916T150121Z_49ae9f7a0909,49ae9f7a09090534a15fac734c2611c445a17139cad6c5684fa0581722f3fd70,"Determination, perseverance",6,6,"[0.833, 0.167]","[0.833, 0.167]",0.0,0.0,0
qwen/qwen3-14b,20260916T150121Z_49ae9f7a0909,49ae9f7a09090534a15fac734c2611c445a17139cad6c5684fa0581722f3fd70,God,6,6,"[0.567, 0.433]","[0.644, 0.356]",0.0777777777777778,-0.5,0
qwen/qwen3-14b,20260916T150121Z_49ae9f7a0909,49ae9f7a09090534a15fac734c2611c445a17139cad6c5684fa0581722f3fd70,Imagination,6,6,"[0.833, 0.167]","[0.833, 0.167]",0.0,0.0,0
qwen/qwen3-14b,20260916T150121Z_49ae9f7a0909,49ae9f7a09090534a15fac734c2611c445a17139cad6c5684fa0581722f3fd70,Independence,6,6,"[0.833, 0.167]","[0.778, 0.222]",0.055555555555555566,0.3333333333333333,0
qwen/qwen3-14b,20260916T150121Z_49ae9f7a0909,49ae9f7a09090534a15fac734c2611c445a17139cad6c5684fa0581722f3fd70,Obedience,6,6,"[0.633, 0.367]","[0.708, 0.292]",0.07500000000000007,-0.3333333333333333,0
qwen/qwen3-14b,20260916T150121Z_49ae9f7a0909,49ae9f7a09090534a15fac734c2611c445a17139cad6c5684fa0581722f3fd70,dealing with people?,6,6,"[0.667, 0.333]","[0.571, 0.429]",0.09523809523809529,0.5,0
qwen/qwen3-235b-a22b,20260916T150950Z_842298c634ec,842298c634ec0f57848b605f67fca161631a852a68192cae1a5377b1d9f31566,"Determination, perseverance",6,6,"[0.833, 0.167]","[0.714, 0.286]",0.11904761904761903,0.5,6
qwen/qwen3-235b-a22b,20260916T150950Z_842298c634ec,842298c634ec0f57848b605f67fca161631a852a68192cae1a5377b1d9f31566,God,6,6,"[0.286, 0.714]","[0.734, 0.266]",0.4484126984126985,-3.0833333333333335,11
qwen/qwen3-235b-a22b,20260916T150950Z_842298c634ec,842298c634ec0f57848b605f67fca161631a852a68192cae1a5377b1d9f31566,Imagination,6,6,"[0.833, 0.167]","[0.519, 0.481]",0.3148148148148148,2.0,0
qwen/qwen3-235b-a22b,20260916T150950Z_842298c634ec,842298c634ec0f57848b605f67fca161631a852a68192cae1a5377b1d9f31566,Independence,6,6,"[0.833, 0.167]","[0.833, 0.167]",0.0,0.0,0
qwen/qwen3-235b-a22b,20260916T150950Z_842298c634ec,842298c634ec0f57848b605f67fca161631a852a68192cae1a5377b1d9f31566,Obedience,6,6,"[0.729, 0.271]","[0.675, 0.325]",0.054563492063492064,0.0,1
qwen/qwen3-235b-a22b,20260916T150950Z_842298c634ec,842298c634ec0f57848b605f67fca161631a852a68192cae1a5377b1d9f31566,dealing with people?,6,6,"[0.429, 0.571]","[0.571, 0.429]",0.14285714285714274,-1.0,0
qwen/qwen3-235b-a22b-2507,20260916T195827Z_dc09c3fe433c,dc09c3fe433c95591b336b279603c546152daf6534d90699323b3bcde754f5bf,"Determination, perseverance",6,6,"[0.833, 0.167]","[0.556, 0.444]",0.2777777777777778,1.6666666666666667,0
qwen/qwen3-235b-a22b-2507,20260916T195827Z_dc09c3fe433c,dc09c3fe433c95591b336b279603c546152daf6534d90699323b3bcde754f5bf,God,6,6,"[0.172, 0.828]","[0.700, 0.300]",0.5277777777777779,-2.9166666666666665,0
qwen/qwen3-235b-a22b-2507,20260916T195827Z_dc09c3fe433c,dc09c3fe433c95591b336b279603c546152daf6534d90699323b3bcde754f5bf,Imagination,6,6,"[0.833, 0.167]","[0.500, 0.500]",0.33333333333333337,2.0,0
qwen/qwen3-235b-a22b-2507,20260916T195827Z_dc09c3fe433c,dc09c3fe433c95591b336b279603c546152daf6534d90699323b3bcde754f5bf,Independence,6,6,"[0.833, 0.167]","[0.556, 0.444]",0.2777777777777778,1.6666666666666667,0
qwen/qwen3-235b-a22b-2507,20260916T195827Z_dc09c3fe433c,dc09c3fe433c95591b336b279603c546152daf6534d90699323b3bcde754f5bf,Obedience,6,6,"[0.800, 0.200]","[0.576, 0.424]",0.22420634920634913,1.25,0
qwen/qwen3-235b-a22b-2507,20260916T195827Z_dc09c3fe433c,dc09c3fe433c95591b336b279603c546152daf6534d90699323b3bcde754f5bf,dealing with people?,6,6,"[0.429, 0.571]","[0.536, 0.464]",0.10714285714285704,-0.75,0
qwen/qwen3-30b-a3b,20260916T145439Z_8700e79d3ecc,8700e79d3eccf358a0de1029f7b40e2db339bb6d11403b8e69cb7a66a7b0c668,"Determination, perseverance",6,6,"[0.833, 0.167]","[0.833, 0.167]",0.0,0.0,0
qwen/qwen3-30b-a3b,20260916T145439Z_8700e79d3ecc,8700e79d3eccf358a0de1029f7b40e2db339bb6d11403b8e69cb7a66a7b0c668,God,6,6,"[0.167, 0.833]","[0.833, 0.167]",0.6666666666666667,-4.0,0
qwen/qwen3-30b-a3b,20260916T145439Z_8700e79d3ecc,8700e79d3eccf358a0de1029f7b40e2db339bb6d11403b8e69cb7a66a7b0c668,Imagination,6,6,"[0.833, 0.167]","[0.833, 0.167]",0.0,0.0,0
qwen/qwen3-30b-a3b,20260916T145439Z_8700e79d3ecc,8700e79d3eccf358a0de1029f7b40e2db339bb6d11403b8e69cb7a66a7b0c668,Independence,6,6,"[0.833, 0.167]","[0.833, 0.167]",0.0,0.0,0
qwen/qwen3-30b-a3b,20260916T145439Z_8700e79d3ecc,8700e79d3eccf358a0de1029f7b40e2db339bb6d11403b8e69cb7a66a7b0c668,Obedience,6,6,"[0.806, 0.194]","[0.500, 0.500]",0.3055555555555555,1.6666666666666667,0
qwen/qwen3-30b-a3b,20260916T145439Z_8700e79d3ecc,8700e79d3eccf358a0de1029f7b40e2db339bb6d11403b8e69cb7a66a7b0c668,dealing with people?,6,6,"[0.567, 0.433]","[0.722, 0.278]",0.15555555555555553,-1.0,0
qwen/qwen3-30b-a3b-instruct-2507,20260916T195128Z_88ed922f271a,88ed922f271a76721ad18f0b7bb9693a48377e2507d02a4b78fa08b451972d83,"Determination, perseverance",6,6,"[0.833, 0.167]","[0.833, 0.167]",0.0,0.0,0
qwen/qwen3-30b-a3b-instruct-2507,20260916T195128Z_88ed922f271a,88ed922f271a76721ad18f0b7bb9693a48377e2507d02a4b78fa08b451972d83,God,6,6,"[0.783, 0.217]","[0.747, 0.253]",0.03611111111111108,0.3333333333333333,0
qwen/qwen3-30b-a3b-instruct-2507,20260916T195128Z_88ed922f271a,88ed922f271a76721ad18f0b7bb9693a48377e2507d02a4b78fa08b451972d83,Imagination,6,6,"[0.833, 0.167]","[0.833, 0.167]",0.0,0.0,0
qwen/qwen3-30b-a3b-instruct-2507,20260916T195128Z_88ed922f271a,88ed922f271a76721ad18f0b7bb9693a48377e2507d02a4b78fa08b451972d83,Independence,6,6,"[0.833, 0.167]","[0.833, 0.167]",0.0,0.0,0
qwen/qwen3-30b-a3b-instruct-2507,20260916T195128Z_88ed922f271a,88ed922f271a76721ad18f0b7bb9693a48377e2507d02a4b78fa08b451972d83,Obedience,6,6,"[0.792, 0.208]","[0.758, 0.242]",0.033333333333333326,0.3333333333333333,0
qwen/qwen3-30b-a3b-instruct-2507,20260916T195128Z_88ed922f271a,88ed922f271a76721ad18f0b7bb9693a48377e2507d02a4b78fa08b451972d83,dealing with people?,6,6,"[0.667, 0.333]","[0.667, 0.333]",0.0,0.0,0
qwen/qwen3-32b,20260916T150406Z_580a58409482,580a5840948209ecb177dc6fdaf36e265a32ccfe223d791eb3235fea9269f27e,"Determination, perseverance",6,6,"[0.778, 0.222]","[0.556, 0.444]",0.22222222222222224,1.3333333333333333,0
qwen/qwen3-32b,20260916T150406Z_580a58409482,580a5840948209ecb177dc6fdaf36e265a32ccfe223d791eb3235fea9269f27e,God,6,6,"[0.583, 0.417]","[0.512, 0.488]",0.07142857142857145,0.3333333333333333,0
qwen/qwen3-32b,20260916T150406Z_580a58409482,580a5840948209ecb177dc6fdaf36e265a32ccfe223d791eb3235fea9269f27e,Imagination,6,6,"[0.833, 0.167]","[0.444, 0.556]",0.38888888888888895,2.3333333333333335,0
qwen/qwen3-32b,20260916T150406Z_580a58409482,580a5840948209ecb177dc6fdaf36e265a32ccfe223d791eb3235fea9269f27e,Independence,6,6,"[0.833, 0.167]","[0.389, 0.611]",0.44444444444444453,2.6666666666666665,0
